Model,Entity Type,Entity,Predicted,Actual
custom_person_model,PERSON,OneNote,1,0
custom_person_model,PERSON,Planner,1,0
custom_person_model,PERSON,SharePoint,1,0
custom_person_model,PERSON,Assessment Approach,1,0
custom_person_model,PERSON,Outlook,1,0
custom_person_model,PERSON,5.4 Provide,1,0
custom_person_model,PERSON,Manger I,1,0
custom_person_model,PERSON,4.3 Redefine,1,0
custom_person_model,ORG,the California State,1,0
custom_person_model,ORG,the General Fund,1,0
custom_person_model,ORG,Findings & Recommendations,1,0
custom_person_model,ORG,Mission Consulting,1,0
custom_person_model,ORG,Delta Conservancy,1,0
custom_person_model,ORG,The Sacramento-San Joaquin Delta Conservancy,1,0
custom_person_model,ORG,San Joaquin Delta,1,0
custom_person_model,ORG,See Recommendation,1,0
custom_person_model,ORG,The Administration Supervisor,1,0
custom_person_model,ORG,Conservatory’s,1,0
custom_person_model,ORG,the Executive Team,1,0
custom_person_model,ORG,the Department of Water Resources,1,0
custom_person_model,ORG,• Grant,1,0
custom_person_model,ORG,• Collaboration – Fostering,1,0
custom_person_model,ORG,2.2 Build,1,0
custom_person_model,ORG,Program and Administration Division,1,0
custom_person_model,ORG,the Programs Division,1,0
custom_person_model,ORG,the State Legislature,1,0
custom_person_model,ORG,Programs and Administration Divisions,1,0
custom_person_model,ORG,the Office,1,0
custom_person_model,ORG,5.3 Improve,1,0
custom_person_model,ORG,• Report – Deliver,1,0
custom_person_model,ORG,The Conservancy’s,1,0
custom_person_model,ORG,MS Office,1,0
custom_person_model,ORG,the Federal Trust Fund,1,0
custom_person_model,ORG,Severely Disadvantage Communities,1,0
custom_person_model,ORG,Microsoft Windows,1,0
custom_person_model,ORG,the Program and Administration Divisions,1,0
custom_person_model,ORG,Program and Administration,1,0
custom_person_model,ORG,• Recommendations,1,0
custom_person_model,ORG,the Delta Carbon Program,1,0
custom_person_model,ORG,Word and Excel,1,0
custom_person_model,ORG,the Environmental License Plate Fund,1,0
custom_person_model,ORG,5.2 Consider,1,0
custom_person_model,ORG,Administration Division,1,0
custom_person_model,ORG,the Enacted Budget,1,0
custom_person_model,ORG,Organizational Assessment Report,1,0
custom_person_model,ORG,Community Programs Division,1,0
custom_person_model,ORG,Executive Team,1,0
custom_person_model,ORG,Programs Division,1,0
custom_person_model,ORG,The Conservancy,1,0
custom_person_model,ORG,MS Teams,1,0
custom_person_model,ORG,the Natural Resources Agency,1,0
custom_person_model,ORG,General Fund,1,0
custom_person_model,ORG,Delta Conservancy Board,1,0
custom_person_model,PERSON,X.XX/4.00 Related Coursework,1,0
custom_person_model,PERSON,Minor,1,0
custom_person_model,PERSON,Emphasis GPA,1,0
custom_person_model,PERSON,Second Major,1,0
custom_person_model,PERSON,Year Received,1,0
custom_person_model,ORG,LinkedIn Address,1,0
custom_person_model,ORG,Club/Organization Name,1,0
custom_person_model,ORG,Professional Email Address • Phone,1,0
custom_person_model,ORG,Southeastern Louisiana University City,1,0
custom_person_model,ORG,CAMPUS & COMMUNITY,1,0
custom_person_model,ORG,Name of Company City,1,0
custom_person_model,ORG,Honor/Award,1,0
custom_person_model,ORG,First & Last Name,1,0
custom_person_model,PERSON,• Dean’s List,1,0
custom_person_model,PERSON,• BA,1,0
custom_person_model,PERSON,• Maintained,1,0
custom_person_model,PERSON,Career Summary,1,0
